Geneid	X1_1.bam	X1_2.bam	X1_3.bam	XX1_1.bam	XX1_2.bam	XX1_3.bam	XXX2_1.bam	XXX2_2.bam	XXX2_3.bam
MELO3C027387.2	609	523	800	1116	1196	595	564	1139	569
MELO3C027395.2	6	0	3	16	0	1	6	2	4
MELO3C027390.2	650	722	1114	988	1348	949	470	883	558
MELO3C027391.2	3606	4315	5982	3670	5202	4737	1307	2837	2351
MELO3C027392.2	3551	3642	5223	3961	5832	3932	2429	3810	2265
MELO3C027393.2	1	0	1	0	9	2	2	4	0
MELO3C027398.2	0	0	0	0	0	0	0	0	0
MELO3C027572.2	0	0	0	0	0	0	0	0	0
MELO3C001768.2	0	0	0	0	0	0	0	0	0
MELO3C027578.2	0	0	0	0	0	0	0	0	0
MELO3C027397.2	2	0	0	0	0	1	0	1	0
MELO3C027396.2	194	184	272	200	309	207	362	206	589
MELO3C027574.2	0	0	0	0	0	0	0	0	0
MELO3C027402.2	1591	1997	3202	1527	2795	2326	784	1031	1125
MELO3C027923.2	0	0	0	0	1	0	2	0	0
MELO3C027406.2	356	740	592	336	508	421	392	613	734
MELO3C027924.2	0	0	2	0	0	0	0	0	0
MELO3C027408.2	0	0	0	0	0	0	0	0	0
MELO3C027925.2	0	0	0	0	0	0	0	0	0
MELO3C027926.2	0	0	0	0	0	0	0	0	0
MELO3C022700.2	0	0	0	0	0	0	0	0	0
MELO3C027407.2	222	323	372	214	382	273	406	341	551
MELO3C027927.2	0	0	0	2	0	6	2	0	2
MELO3C027409.2	4	0	7	2	0	0	0	0	2
MELO3C027426.2	0	0	0	0	2	0	0	0	0
MELO3C027573.2	0	0	0	0	0	0	0	0	0
MELO3C027411.2	0	0	0	0	0	0	0	0	0
MELO3C027427.2	0	0	0	0	0	0	0	0	0
MELO3C027414.2	0	0	2	1	0	0	0	0	0
MELO3C027579.2	0	0	0	0	0	0	0	0	0
MELO3C027418.2	206	100	136	201	159	177	46	119	164
MELO3C027420.2	302	141	214	967	1064	370	1222	1906	880
MELO3C027421.2	289	175	288	421	608	230	768	705	808
MELO3C027425.2	370	261	416	1826	2859	2853	1862	3394	3291
MELO3C027945.2	0	0	0	0	0	0	0	0	0
MELO3C027948.2	0	0	0	0	0	0	0	0	0
MELO3C027947.2	0	0	0	2	6	4	1	0	4
MELO3C000003.2	7462	5873	9200	8453	10510	6463	5146	9375	5570
MELO3C000001.2	0	0	0	0	0	0	0	0	0
MELO3C000004.2	0	0	0	0	0	0	0	0	0
MELO3C027962.2	97	62	100	584	583	691	417	520	800
MELO3C027954.2	0	0	0	0	0	0	0	0	0
MELO3C027955.2	0	2	0	1	0	0	1	0	0
MELO3C000012.2	0	0	0	0	0	0	0	0	0
MELO3C000014.2	1192	1203	1595	1795	1964	1076	985	1469	1358
MELO3C000009.2	2567	2678	3315	3416	5089	3435	6579	7214	8456
MELO3C027585.2	0	0	0	0	0	0	0	0	0
MELO3C027588.2	0	0	0	0	0	0	0	0	0
MELO3C027956.2	0	0	0	0	0	0	0	0	0
MELO3C027970.2	0	0	0	0	0	0	0	0	0
MELO3C027969.2	0	0	0	0	0	0	0	0	0
MELO3C000019.2	7	32	10	34	34	10	130	150	38
MELO3C027967.2	0	0	0	0	0	0	0	0	0
MELO3C027589.2	0	0	0	0	0	0	0	0	0
MELO3C027584.2	0	0	0	0	0	0	0	0	0
MELO3C027590.2	0	0	0	0	0	0	0	0	0
MELO3C027971.2	478	319	545	639	545	593	210	410	325
MELO3C000027.2	39	50	49	583	755	447	425	453	351
MELO3C027580.2	0	0	0	0	0	0	0	0	0
MELO3C000022.2	0	0	0	0	0	0	0	0	0
MELO3C027979.2	0	0	0	0	0	0	0	0	0
MELO3C000032.2	294	213	310	187	346	210	151	269	189
MELO3C027980.2	1	1	2	0	0	0	1	2	0
MELO3C000026.2	149	99	77	28	40	30	133	261	206
MELO3C000029.2	10	2	0	2	0	0	28	15	19
